Transaction_ID,SKU,Warehouse_ID,Transaction_Date,Transaction_Type,Quantity
TX000001,P0363,W04,2024-02-08,Receipt,35
TX000002,P0323,W01,2024-03-04,Issue,-111
TX000003,P0088,W01,2024-05-02,Receipt,192
TX000004,P0219,W01,2024-08-21,Issue,-196
TX000005,P0162,W01,2024-11-08,Issue,-140
TX000006,P0115,W05,2024-07-28,Receipt,185
TX000007,P0299,W02,2024-04-15,Issue,-162
TX000008,P0021,W02,2024-12-01,Issue,-163
TX000009,P0012,W03,2024-12-06,Receipt,126
TX000010,P0032,W05,2024-08-26,Receipt,157
TX000011,P0175,W02,2024-06-25,Issue,-159
TX000012,P0369,W05,2024-03-13,Receipt,194
TX000013,P0470,W01,2024-11-30,Receipt,98
TX000014,P0354,W01,2024-10-30,Receipt,27
TX000015,P0087,W02,2024-07-23,Issue,-141
TX000016,P0311,W04,2024-02-29,Issue,-77
TX000017,P0449,W02,2024-03-01,Receipt,42
TX000018,P0324,W04,2024-02-13,Receipt,20
TX000019,P0273,W01,2024-10-06,Issue,-108
TX000020,P0282,W03,2024-06-27,Receipt,3
TX000021,P0351,W01,2024-02-02,Receipt,120
TX000022,P0359,W05,2024-05-17,Receipt,182
TX000023,P0357,W01,2024-09-02,Issue,-145
TX000024,P0360,W01,2024-09-16,Issue,-16
TX000025,P0161,W05,2024-12-23,Receipt,38
TX000026,P0192,W01,2024-06-12,Issue,-147
TX000027,P0476,W02,2024-01-10,Issue,-64
TX000028,P0138,W01,2024-07-31,Issue,-67
TX000029,P0356,W05,2024-06-14,Issue,-36
TX000030,P0430,W01,2024-06-22,Issue,-8
TX000031,P0457,W05,2024-07-13,Receipt,39
TX000032,P0474,W04,2024-01-29,Issue,-195
TX000033,P0497,W05,2024-04-10,Issue,-33
TX000034,P0110,W03,2024-11-02,Issue,-86
TX000035,P0051,W02,2024-07-06,Receipt,176
TX000036,P0290,W01,2024-07-05,Issue,-174
TX000037,P0398,W02,2024-05-12,Receipt,161
TX000038,P0169,W01,2024-01-03,Receipt,16
TX000039,P0474,W04,2024-12-15,Issue,-165
TX000040,P0357,W02,2024-10-29,Issue,-196
TX000041,P0479,W01,2024-02-09,Receipt,102
TX000042,P0495,W04,2024-08-31,Issue,-114
