PO_ID,SKU,Supplier_ID,Order_Date,Quantity_Ordered,Delivery_Date,Status
PO000001,P0252,S05,2024-12-24,347,2024-12-30,Delivered
PO000002,P0037,S05,2024-07-28,224,2024-08-11,Delivered
PO000003,P0012,S03,2024-11-26,142,2024-12-05,Delivered
PO000004,P0370,S06,2024-09-21,291,2024-10-08,Delivered
PO000005,P0104,S10,2024-04-06,315,2024-04-23,Delivered
PO000006,P0220,S02,2024-06-21,80,2024-07-05,Delivered
PO000007,P0018,S01,2024-08-20,367,2024-09-04,Delivered
PO000008,P0198,S01,2024-05-17,454,2024-05-31,Delivered
PO000009,P0194,S08,2024-04-24,292,2024-05-04,Delivered
PO000010,P0329,S09,2024-11-08,107,2024-11-26,Delivered
PO000011,P0030,S01,2024-12-14,261,2024-12-21,Delivered
PO000012,P0140,S10,2024-02-29,252,2024-03-10,Delivered
PO000013,P0197,S05,2024-12-28,310,2025-01-12,Pending
PO000014,P0439,S05,2024-02-15,55,2024-02-27,Delivered
PO000015,P0295,S02,2024-06-08,240,2024-06-27,Delivered
PO000016,P0251,S10,2024-08-10,232,2024-08-25,Delivered
PO000017,P0369,S04,2024-11-19,487,2024-12-05,Delivered
PO000018,P0450,S09,2024-01-30,260,2024-02-12,Delivered
PO000019,P0102,S05,2024-03-20,227,2024-03-25,Delivered
PO000020,P0264,S09,2024-02-11,110,2024-02-27,Delivered
PO000021,P0049,S03,2024-05-26,136,2024-06-11,Delivered
PO000022,P0433,S06,2024-08-31,232,2024-09-08,Delivered
PO000023,P0006,S10,2024-05-01,320,2024-05-10,Delivered
PO000024,P0075,S01,2024-07-09,212,2024-07-27,Delivered
PO000025,P0443,S09,2024-09-17,113,2024-09-27,Delivered
PO000026,P0351,S02,2024-07-14,210,2024-07-27,Delivered
PO000027,P0010,S10,2024-11-06,96,2024-11-12,Delivered
PO000028,P0357,S01,2024-07-12,132,2024-07-27,Delivered
PO000029,P0189,S07,2024-11-15,64,2024-12-01,Delivered
PO000030,P0112,S02,2024-07-30,165,2024-08-11,Delivered
PO000031,P0022,S06,2024-03-02,195,2024-03-20,Delivered
PO000032,P0161,S10,2024-08-28,279,2024-09-07,Delivered
PO000033,P0063,S06,2024-11-16,259,2024-11-28,Delivered
PO000034,P0393,S10,2024-04-09,455,2024-04-14,Delivered
PO000035,P0292,S04,2024-08-07,52,2024-08-15,Delivered
PO000036,P0279,S05,2024-01-21,419,2024-01-27,Delivered
PO000037,P0303,S05,2024-09-18,51,2024-09-24,Delivered
PO000038,P0159,S06,2024-02-23,422,2024-03-09,Delivered
PO000039,P0213,S07,2024-07-25,476,2024-08-12,Delivered
PO000040,P0323,S03,2024-08-27,478,2024-09-06,Delivered
PO000041,P0011,S04,2024-05-14,271,2024-05-24,Delivered
PO000042,P0350,S02,2024-06-16,413,2024-06-23,Delivered
PO000043,P0473,S02,2024-08-12,442,2024-08-30,Delivered
PO000044,P0476,S02,2024-10-21,93,2024-10-30,Delivered
PO000045,P0429,S01,2024-03-23,215,2024-04-02,Delivered
PO000046,P0345,S02,2024-01-16,154,2024-01-28,Delivered
PO000047,P0317,S08,2024-04-02,413,2024-04-18,Delivered
PO000048,P0465,S03,2024-03-13,66,2024-03-28,Delivered
PO000049,P0215,S03,2024-11-30,364,2024-12-09,Delivered
PO000050,P0062,S07,2024-05-14,251,2024-05-25,Delivered
PO000051,P0100,S08,2024-09-18,99,2024-10-03,Delivered
PO000052,P0429,S01,2024-07-07,367,2024-07-12,Delivered
PO000053,P0241,S06,2024-05-28,315,2024-06-04,Delivered
PO000054,P0190,S04,2024-03-12,73,2024-03-17,Delivered
PO000055,P0423,S04,2024-07-10,258,2024-07-21,Delivered
PO000056,P0252,S10,2024-05-26,155,2024-06-04,Delivered
PO000057,P0386,S02,2024-06-06,237,2024-06-15,Delivered
PO000058,P0203,S04,2024-08-31,441,2024-09-15,Delivered
PO000059,P0076,S01,2024-12-17,452,2024-12-27,Delivered
PO000060,P0132,S06,2024-07-16,188,2024-07-21,Delivered
PO000061,P0021,S05,2024-04-12,477,2024-04-24,Delivered
PO000062,P0294,S04,2024-08-17,446,2024-08-27,Delivered
PO000063,P0005,S08,2024-07-03,413,2024-07-20,Delivered
PO000064,P0386,S01,2024-06-06,257,2024-06-19,Delivered
PO000065,P0443,S02,2024-06-20,307,2024-07-01,Delivered
PO000066,P0163,S01,2024-11-27,410,2024-12-06,Delivered
PO000067,P0124,S08,2024-11-18,226,2024-11-29,Delivered
PO000068,P0035,S01,2024-01-13,240,2024-01-19,Delivered
PO000069,P0346,S07,2024-05-25,154,2024-06-10,Delivered
PO000070,P0014,S06,2024-06-08,66,2024-06-20,Delivered
PO000071,P0310,S10,2024-09-16,83,2024-09-25,Delivered
PO000072,P0297,S10,2024-03-23,348,2024-04-10,Delivered
PO000073,P0343,S05,2024-05-06,468,2024-05-14,Delivered
PO000074,P0097,S02,2024-04-11,262,2024-04-20,Delivered
PO000075,P0205,S01,2024-08-29,479,2024-09-06,Delivered
