Sales_ID,SKU,Warehouse_ID,Sale_Date,Quantity_Sold,Promo_Flag
SL000001,P0201,W04,2024-03-13,9,0
SL000002,P0369,W05,2024-03-08,5,0
SL000003,P0285,W03,2024-10-13,47,1
SL000004,P0077,W01,2024-11-21,11,0
SL000005,P0059,W05,2024-08-07,19,0
SL000006,P0431,W02,2024-02-16,38,0
SL000007,P0126,W01,2024-02-27,10,0
SL000008,P0500,W05,2024-01-24,16,0
SL000009,P0401,W02,2024-10-16,29,1
SL000010,P0109,W01,2024-11-14,5,0
SL000011,P0224,W05,2024-01-24,18,0
SL000012,P0496,W04,2024-03-04,42,0
SL000013,P0278,W02,2024-09-11,42,1
SL000014,P0068,W04,2024-05-27,44,0
SL000015,P0069,W03,2024-04-25,35,0
SL000016,P0165,W05,2024-04-07,36,0
SL000017,P0489,W05,2024-08-26,22,0
SL000018,P0305,W02,2024-10-09,24,0
SL000019,P0397,W05,2024-10-26,12,0
SL000020,P0162,W03,2024-04-02,39,0
SL000021,P0365,W05,2024-03-05,12,0
SL000022,P0342,W01,2024-06-22,35,0
SL000023,P0309,W04,2024-11-05,19,1
SL000024,P0379,W03,2024-08-22,37,1
SL000025,P0343,W03,2024-06-15,14,0
SL000026,P0435,W04,2024-08-24,23,0
SL000027,P0387,W04,2024-01-07,40,1
SL000028,P0042,W03,2024-11-05,22,1
SL000029,P0354,W04,2024-02-12,47,0
SL000030,P0416,W02,2024-10-02,48,0
SL000031,P0109,W04,2024-12-05,11,0
SL000032,P0051,W01,2024-06-01,2,1
SL000033,P0250,W01,2024-02-12,10,1
SL000034,P0497,W02,2024-07-31,43,0
SL000035,P0341,W04,2024-07-19,5,1
SL000036,P0430,W01,2024-06-03,30,0
SL000037,P0383,W05,2024-08-07,21,0
SL000038,P0492,W04,2024-06-01,49,0
SL000039,P0021,W02,2024-02-05,33,0
SL000040,P0300,W04,2024-08-13,25,1
SL000041,P0139,W03,2024-11-17,46,1
SL000042,P0359,W03,2024-04-30,47,0
SL000043,P0324,W01,2024-01-09,7,0
SL000044,P0499,W03,2024-12-04,40,0
SL000045,P0385,W02,2024-11-30,28,0
SL000046,P0092,W01,2024-06-29,16,1
SL000047,P0447,W02,2024-01-21,45,0
SL000048,P0280,W02,2024-09-28,37,0
SL000049,P0125,W03,2024-07-12,3,0
SL000050,P0483,W03,2024-01-26,45,0
SL000051,P0397,W02,2024-10-11,19,0
SL000052,P0111,W03,2024-04-07,12,0
SL000053,P0354,W03,2024-08-06,19,0
SL000054,P0139,W03,2024-11-22,49,0
SL000055,P0484,W04,2024-09-29,11,0
